id,happiness,survey_type,province,gender,nationality,religion,religion_freq,edu,income,political,floor_area,health,health_problem,depression,hukou,socialize,relax,learn,equity,class,work_exper,work_status,work_yr,work_type,work_manage,family_income,family_m,family_status,house,car,marital,status_peer,status_3_before,view,inc_ability,age,BMI
1,4,1,12,1,1,1,1,11,20000,1,45,3,2,5,5,2,4,3,3,3,1,4,30,2,3,60000,5,2,5,3,3,3,2,4,3,56,25.019369834710744
2,4,2,18,1,1,1,1,12,20000,1,110,5,4,3,1,2,4,3,3,6,1,4,2,2,4,40000,6,4,5,3,1,1,1,4,2,23,19.031141868512112
3,4,2,29,2,1,0,3,4,2000,1,120,4,4,5,1,3,4,2,4,5,2,-8,-8,-8,-8,8000,6,3,5,3,3,2,1,4,2,48,23.828124999999996
4,5,2,10,2,1,1,1,3,6420,1,78,4,4,4,1,2,4,4,4,5,4,-8,-8,-8,-8,12000,6,3,5,2,7,2,1,3,2,72,31.992171327486922
5,4,1,7,2,1,1,1,12,-8,2,70,5,5,3,2,4,3,4,2,1,6,-8,-8,-8,-8,-8,7,3,5,2,1,3,2,3,-8,21,20.202020202020204
6,5,2,18,1,1,1,1,2,5000,1,300,5,5,4,1,3,3,2,4,8,4,-8,-8,-8,-8,5000,5,3,5,3,3,3,1,4,3,69,23.661438615467823
7,4,1,10,1,1,1,1,4,-8,4,89,2,2,2,2,1,3,1,4,2,1,4,30,2,4,-8,6,2,5,3,3,3,2,4,3,52,23.437499999999996
8,4,1,11,1,1,0,8,4,-8,1,130,3,5,5,2,3,3,3,4,2,5,-8,-8,-8,-8,-8,5,3,5,3,3,2,2,4,-8,56,22.59814049586777
9,4,2,28,1,1,1,1,3,1600,1,36,2,2,2,1,2,2,1,4,3,2,-8,-8,-8,-8,1600,4,2,5,3,1,3,2,3,3,63,15.510204081632653
10,4,2,24,1,1,1,1,3,60000,1,80,4,5,4,1,3,3,2,4,5,5,-8,-8,-8,-8,60000,8,3,5,2,3,2,2,3,2,30,23.661438615467823
11,4,1,6,2,1,1,1,6,24000,1,200,4,4,5,1,3,3,1,4,4,5,-8,-8,-8,-8,60000,8,3,5,3,3,2,2,4,2,27,18.36547291092746
12,4,2,23,1,1,0,3,1,8000,1,199,4,2,2,1,4,4,1,2,6,4,-8,-8,-8,-8,16500,6,3,7,3,3,3,1,4,2,47,20.04744562130375
